,original,paraphrase,output,output_reference
751,"Have heer my trouthe; tomorwe I wol nat faille,
","I'm not gonna fail, I'm not gonna fail, I'm not gonna fail."," I am not to fail, I am not to fail, I am not to fail.","Have here my pledge; tomorrow I will not fail,
"
752,"Withoute wityng of any oother wight,
","any other wight, any other wight, any other wight, any other wight, any other wight, any other..."," Any other wight, any other wight, any other wight, any other wight, any other...","Without the knowledge of any other person,
"
753,"That heere I wol be founden as a knyght,
","I'm gonna be found as a knave, as a knave, as a knave."," I will be found as a knave, as a knave, as a knave, as a knave, as a knave, as a knave, as a knave, as a knave, as a knave, as a knave, as a knave, as a knave, as a kn","But here I will be found as a knight,
"
754,"And bryngen harneys right ynough for thee;
",Bryngen harney's right to go;, And to his right to go;,"And bring armor right enough for thee;
"
755,"And ches the beste, and leef the worste for me.
","I'll be glad to have the best of it, and I'll be glad to have the worm."," I will be glad to have the best of it, and I will be glad to have the worm.","And choose the best, and leave the worst for me.
"
756,"And mete and drynke this nyght wol I brynge
",I'm gonna go to the nyght wol I'm gonna be a nyght wol I'm gonna be a nyght wol, I go to the nyght wol I go to be a nyght wol,"And food and drink this night will I bring
"
757,"Ynough for thee, and clothes for thy beddynge.
","you don't have to worry about your clothes, but your bed."," Thou shalt not have to worry thy clothes, but thy bed.","Enough for thee, and bed-clothes for thy bedding.
"
758,"And if so be that thou my lady wynne,
","if you're my lady, you're my lady."," If you are my lady, you are my lady.","And if it so be that thou win my lady,
"
759,"And sle me in this wode ther I am inne,
",I'm going to be in this wode ther I'm in., I will be in this wode ther I am.,"And slay me in this wood where I am in,
"
760,"Thow mayst wel have thy lady as for me.""
","""I'm sure your lady will be happy to take me."""," "" I hope your lady will be pleased to take me","Thou mayest well have thy lady as far as I am concerned.""
"
761,"This Palamon answerde, ""I graunte it thee.""
","""I'm sorry, but I'm sorry,"" Palamon said, ""I'm sorry."""," "" I am sorry, Palamon, "" said, "" I am sorry.","This Palamon answered, ""I agree.""
"
762,"And thus they been departed til amorwe,
","they were taken away until they were gone, and then they were gone."," And they were taken away till they were gone, and then they were gone.","And thus they are departed until morning,
"
763,"Whan ech of hem had leyd his feith to borwe.
",he leyded his feith to borwe., Leyded his feith to borwe.,"When each of them had laid his faith as a pledge.
"
764,"O Cupide, out of alle charitee!
","the Cupide, out of the charitee!"," The Cupide, out of the charitee!","O Cupid, devoid of all kindness to others!
"
765,"O regne, that wolt no felawe have with thee!
","no felawe, wolt no felawe be with you!"," No felawe, wolt no felawe be with thee!","O reign, that will have no partner with thee!
"
766,"Ful sooth is seyd that love ne lordshipe
",sooth is seyd that love is not the lordshipe of the Lordshipe., Sooth seyd that love is not the lordshipe of the lordshipe.,"Full truly it is said that love nor lordship
"
767,"Wol noght, his thankes, have no felaweshipe.
","noght, his thankes, he's not a felaweshipe."," Noght, his thankes, his not a felaweshipe.","Will not, willingly, have any partnership.
"
768,"Wel fynden that Arcite and Palamoun.
",the Arcite and Palamounes are the two of the two., The Arcite and Palamounes are the two of the two.,"Arcite and Palamon well find that (to be true).
"
769,"Arcite is riden anon unto the toun,
","the toun is a toun, the toun is a toun, the toun is a toun."," The toun is a toun, the toun is a toun, the toun is a tâĢĻtâĢĻtâĢĢĻtâĢĻtâĢĢĻtâĢ�","Arcite has ridden immediately into the town,
"
770,"And on the morwe, er it were dayes light,
","on the morrow, the day of the morrow, the day of the morrow, the day of the morrow, the day of the..."," On the morrow, the day of the morrow, the day of the morrow, the day of the morrow, the day of the...","And on the morning, before it was day's light,
"
771,"Ful prively two harneys hath he dight,
","he's got a couple of harneys, but he's not a lot of them."," He has harneys, but he is not a lot of them.","Very secretly he has prepared two sets of armor,
"
772,"Bothe suffisaunt and mete to darreyne
","the darreyne is a darreyne, the darreyne is a darreyne, the darreyne is a d"," The darreyne is a darreyne, the darreyne is a darreyne, the darreyne is a darreyne, the darreyne is a darreyne, the darreyne","Both sufficient and suitable to decide
"
773,"The bataille in the feeld bitwix hem tweyne;
",the bataille in the feeld bitwix hem tweyne;, The bataille in the feeld bitwix hem tweyne;,"The battle in the field between them two;
"
774,"And on his hors, allone as he was born,
","on his horse, he was born, and he was born on his horse."," And he was born, and was born on his horse","And on his horse, alone as he was born,
"
775,"He carieth al the harneys hym biforn.
","he's got a car, he's got a car, he's got a car."," He hath a car, he hath a car, he hath a car, he hath a car.","He carries all the armor before him.
"
776,"And in the grove, at tyme and place yset,
","in the grove, at the place where the tyme is,"," In the grove, at the place where the tyme is,","And in the grove, at time and place set,
"
777,"This Arcite and this Palamon ben met.
",the Arcite and Palamon were both there., And the Arcite and Palamon were there.,"This Arcite and this Palamon are met.
"
778,"To chaungen gan the colour in hir face;
",chaungen gan the color of the face of the chaungen;, chaungen gan the color of the face of the chaungen;,"The color in their faces began to change;
"
779,"Right as the hunters in the regne of Trace,
","as the hunters in the regne of the Trace,"," As hunters in the regne of the Trace,","Just as the hunters in the reign of Thrace,
"
780,"That stondeth at the gappe with a spere,
","the gappe is a spere, the gappe is a spear."," The gappe is a spere, the gappe is a spear.","He who stands at the gap in the forrest with a spear,
"
781,"Whan hunted is the leon or the bere,
",the leon is the leon or the bere., The leon is the bere or the leon.,"When the lion or the bear is hunted,
"
782,"And hereth hym come russhyng in the greves,
","here's a russhyng in the greaves, here's a russhyng in the greaves."," Here's a russhyng in the greaves, here's a russhyng in the greaves","And hears him come rushing in the bushes,
"
783,"And breketh bothe bowes and the leves,
","the bowels of the bowels, the leavings, the leavings, the leavings, the leavings, the leavings"," The bowels of the bowels, the leavings, the leavings, the leavings, the leavings, the leavings, the ","And breaks both boughs and the leaves,
"
784,"And thynketh, ""Heere cometh my mortal enemy!
","""there's my mortal enemy here!"" Said Thynketh."," "" There is my mortal foe here!","And thinks, ""Here comes my mortal enemy!
"
785,"Withoute faille, he moot be deed, or I,
","he's got a problem, or I, or he's gonna be dead."," He's got a problem, or I, or he's gonna be dead.","Without fail, he must be dead, or I,
"
786,"For outher I moot sleen hym at the gappe,
",I'm going to the gappe with my gappe., I'm going to the gappe with my gappe,"For either I must slay him at the gap,
"
787,"Or he moot sleen me, if that me myshappe.""
","if I'm myshappe, he's myshappe, if I'm myshappe."," If I am myshappe, he myshappe, if I am myshappe.","Or he must slay me, if I suffer misfortune.""
"
788,"So ferden they in chaungyng of hir hewe,
","they're ferden in the hirwe of hirwe, ferden in the hirwe."," They ferden in the hirwe of hirwe, ferden in the hirwe of","So fared they in changing colors of their faces,
"
789,"As fer as everich of hem oother knewe.
","as everich knew, he was still in the same place."," As everich knew, he still in the same place.","When each of them knew the other.
"
790,"Ther nas no good day, ne no saluyng,
","no good day, no saluyng, no saluyng, no saluyng, no saluyng, no saluyng, no saluy"," No good day, no saluyng, no saluyng, no ","There was no 'good day,' nor no salutations,
"
791,"But streight, withouten word or rehersyng,
","straight, without a word of a cough, or cough, or cough, or cough, or cough, or cough, or cough, or..."," straight, without a word of a cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough, or","But straightway, without word or conversing,
"
792,"Everich of hem heelp for to armen oother
",the heel of the heel of the heel of the heel of the heel of the heel of the heel of the heel of the..., And the heel of the heel of the heel of the heel of the heel of the heel of the heel of the,"Each one of them helped to arm the other
"
793,"As freendly as he were his owene brother;
",as he was a brother to his owen brother;, As he was a brother to his owen brother;,"As friendly as if he were his own brother;
"
794,"And after that, with sharpe speres stronge
","after that, the sharpness of the spear was sharpened by the sharpness of the spear."," After that, the sharpness of the spear was sharpened by the sharpness of the spear.","And after that, with sharp strong spears
"
795,"They foynen ech at oother wonder longe.
",foynen ech at the other wonderland., Foynen ech at other wonderland.,"They thrust at each other a wonderfully long time.
"
796,"Thou myghtest wene that this Palamon
","you're gonna be my Palamon, my Palamon, my Palamon, my Palamon, my Palamon, my Palamon, my Palamon,"," You're gonna be my Palamon, my PalâĢĻs PalâĢĻs PalâĢĻs PalâĢĻs PalâĢĻs PalâĢĻs Palâ�","Thou mightest suppose that this Palamon
"
797,"In his fightyng were a wood leon,
",a wood leon was fighting with a wood leon., A wood leon was fighting with a wood leon.,"In his fighting was a mad lion,
"
798,"And as a crueel tigre was Arcite;
",as a cruel tigre was Arcite;, As a cruel tigre was Arcite;,"And Arcite was like a cruel tiger;
"
799,"As wilde bores gonne they to smyte,
","wilde's bores are smeared with smysk, and they're smeared with smysk."," Wilde bores smeare smysk, and smysk is smysk.","They began to smite like wild boars,
"
800,"That frothen whit as foom for ire wood.
",the fowls of the fowls of the fowls of the fowls of the fowls., The fowls of the fowls of the fowls of the fowls of the fowls of the fowls of the fowls of the fowls of the fowls of the fowls of the fowl ,"That froth at the mouth white as foam for mad anger.
"
801,"Up to the ancle foghte they in hir blood.
",they're bloodied by the blood of the ancle., Bloodied by the blood of ancle.,"They fought up to the ankle in their blood.
"
802,"And in this wise I lete hem fightyng dwelle,
","I'm gonna fight with my sword, my sword, my sword, my sword, my sword, my sword, my sword, my..."," I'll fight with my sword, my sword, my sword, my sword, my sword, my sword, my...","And in this manner I leave them to remain fighting,
"
803,"And forth I wole of Theseus yow telle.
",I'll tell you what I want to tell you. I want to tell you what I want to tell you., I want to tell you what I want to tell you.,"And forth I will tell you of Theseus.
"
804,"The destinee, ministre general,
","the owner of the house, the owner of the house, the owner of the house, the owner of the house, the..."," The owner of the house, the owner of the house, the owner of the house, the...","The destiny, general minister,
"
805,"That executeth in the world over al
","the world over the world, the world's economy is growing."," The world over the world, the economy grows.","That executes in the world everywhere
"
806,"The purveiaunce that God hath seyn biforn,
","the purveyunce that God has promised to do, the God is not pleased."," The purveyunce that God hath promised, the God is not pleased.","The providence that God has foreseen,
"
807,"So strong it is that, though the world had sworn
","but the world has sworn to the world, but the world has sworn to the world."," But the world hath sworn to the world, but the world hath sworn to the world.","So strong it is that, though the world had sworn
"
808,"The contrarie of a thyng by ye or nay,
","the contrariety of a thyng or nay,"," The contrariety of thyng or nay,","The contrary of a thing by yes or no,
"
809,"Yet somtyme it shal fallen on a day
","on a day of the day, it fell to the ground."," And on a day of the day, fell it,","Yet sometimes it shall happen on one day
"
810,"That falleth nat eft withinne a thousand yeer.
","falleth in a thousand years, and the falleth in a thousand years."," Falleth in a thousand years, and the falleth in a thousand years.","That happens not again in a thousand years.
"
811,"For certeinly, oure appetites heer,
","he's a little bit of a nutcase, a little crazy, a little crazy, a little crazy, a little crazy, a..."," He's a little bit of nutcase, a little mad, a little mad, a little mad, a little mad, a...","For certainly, our desires here,
"
812,"Be it of werre, or pees, or hate, or love,
","it's a word, or a word, or a word, or a word, or a word, or a word, or a word, or a word, or"," It is a word, or a word, or a word, or a word, or a word, or a word, or a word, or a word, or a word, or a word, or a word, or a word, or","Be it of war, or peace, or hate, or love,
"
813,"Al is this reuled by the sighte above.
",the sight of the above is re-established by the sight of the above., The sight of the above re-establishs the above.,"All this is ruled by the foresight above.
"
814,"This mene I now by myghty Theseus,
","I'm now a mane of myghty, I'm a mane of myghty, I'm a mane of myghty."," I am now a mane of myghty, I am a mane of myghty, I am a mane of myghty.","I mean this now in regard to mighty Theseus,
"
815,"That for to hunten is so desirus,
",for the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of..., For the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of,"Who is so desirous to hunt,
"
816,"And namely at the grete hert in May,
","in May, the grete hert was in the grete hert."," In May, grete hert was grete hert in the grete hert.","And especially at the large hart in May,
"
817,"That in his bed ther daweth hym no day
","he's not going to sleep in his bed today, but tomorrow."," He's not going to sleep in his bed today, but tomorrow.","That in his bed there dawns for him no day
"
818,"That he nys clad, and redy for to ryde
","he's dressed, and red with red, and he's red with red."," He's dressed, and red with red, and he's red with red.","That he is not clad, and ready to ride
"
819,"With hunte and horn and houndes hym bisyde.
",the hounds and the hounds of the hounds., The hounds and the hounds of the hounds.,"With huntsman and horn and hounds beside him.
"
820,"For in his huntyng hath he swich delit
",in his hunch he's got a little bit of a hunch., In his hunch he has a little bit of a hunch,"For in his hunting he has such delight
"
821,"That it is al his joye and appetit
",it's a joy and pleasure for him and his joy., It is a joy and pleasure for him and his joy and his pleasure.,"That it is all his joy and desire
"
822,"To been hymself the grete hertes bane,
",he was a grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete..., He was grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete,"To be himself the large hart's slayer,
"
823,"For after Mars he serveth now Dyane.
",he's now Dyane's after Mars., He is now Dyane's after Mars.,"For next to Mars he now serves Diana.
"
824,"Cleer was the day, as I have toold er this,
","it was the day of the Erk, as I've told you."," And it was the day of the Erk, as I have told you.","The day was clear, as I have told before this,
"
825,"And Theseus with alle joye and blis,
","theseus with joy and joy, and with joy, and joy, and joy, and joy, and joy, and joy, and joy, and..."," Theseus with joy and joy, and with joy, and with joy, and with joy, and with joy, and with joy, and with joy, and with joy, and with joy, and with joy, and with joy, and with joy, and with joy,","And Theseus with all joy and bliss,
"
826,"With his Ypolita, the faire queene,
","the faireque of the Ypolita, the faireque of the Ypolita, the faireque of the Ypolita, the faireque..."," The fairest of the Ypolita, the fairest of the Ypolita, the fairest of the Ypolita, the fairest of the Ypolita, the fairest of the YâĢĻĻĻĻs","With his Ypolita, the faire queen,
"
827,"And Emelye, clothed al in grene,
","Emelye, dressed in a greenish-green, greenery."," Emelye, dressed in green, greenery.","And Emelye, clothed all in green,
"
828,"On huntyng be they riden roially.
","they will be rid of the houngs, they will be rid of the houngs."," They will be rid of the houngs, they will be rid of the houngs.","On hunting they are ridden royally.
"
829,"And to the grove that stood ful faste by,
","to the grove that stood in the middle of the road,
to the grove that stood in the middle of the..."," To the grove that stood in the middle of the road,","And to the grove that stood very close by,
"
830,"In which ther was an hert, as men hym tolde,
","in which there was a hert, as men say, as men say, men say, men say, men say, men say, men say, men..."," In which there was a hert, as men say, as men say, men say, men say, men say, men say, men say, men say, men say, men say, men say, men say, men say","In which there was a hart, so people told him,
"
831,"Duc Theseus the streighte wey hath holde.
",Duc Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey, Duc Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey,"Duke Theseus has held the straight way.
"
832,"And to the launde he rideth hym ful right,
","he's got a lot of money, he's got a lot of money, he's got a lot of money, he's got a lot of money,..."," He hath a lot of money, he hath a lot of money, he hath a lot of money, he hath a lot of money, he hath a lot of money, he hath a lot of money, he hath a lot of money","And directly to the glade he rides,
"
833,"For thider was the hert wont have his flight,
",the hert was the flight of the hert., The hert was the flight of hert.,"For through there the hart was accustomed to take his escape,
"
834,"And over a brook, and so forth on his weye.
","he's got a brook, and so forth on his tongue."," And so forth on his brook, and so forth on his tongue.","And (flee) over a brook, and so forth on his way.
"
835,"This duc wol han a cours at hym or tweye
",duc wol han a cours at the hym or the twee., duc wol han a cours at hym or twee,"This duke will have a run or two at him
"
836,"With houndes swiche as that hym list comaunde.
",the hounds are as much as the list of comaunders., The hounds are as much as the list of comaunders.,"With such hounds as he pleases to command.
"
837,"And whan this duc was come unto the launde,
","when the duc was at the laundry, he was taken aback."," And when the duc was at the laundry, he was taken aback","And when this duke was come unto the glade,
"
838,"Under the sonne he looketh, and anon
","he looks at the sonne, and then anon"," And then anon, anon, anon, anon, anon, anon, anon, anon, anon, ","He looks toward the sun, and immediately
"
839,"He was war of Arcite and Palamon,
",the war between the Arcite and Palamon was a war of Arcite and Palamon., The Arcite and Palamon wars were a war of Arcite and Palamon.,"He was aware of Arcite and Palamon,
"
840,"That foughten breme as it were bores two.
","it's like a two-year-old's fiddle, but it's a little more complex."," It's like a two-year-old fiddle, but it's a little more complex.","Who fought as fiercely as if it were two wild boars.
"
841,"The brighte swerdes wenten to and fro
",the brighten swerdes moved in and out of the room., The bright swerdes moved in and out of the room.,"The bright swords went to and fro
"
842,"So hidously that with the leeste strook
","with the leeste's sword, the leeste's sword, the leeste's sword, the leeste's sword, the leeste's..."," With the leeste's sword, with the leeste's sword, with the lee's sword, with the lee's sword, with the lee's sword, with the lee's sword, with the lee's ","So hideously that with the weakest stroke
"
843,"It semed as it wolde felle an ook.
","it's a good thing he's a good guy, because he's a good guy."," It's a good thing he's a good man, because he's a good man.","It seemed as if it would fell an oak.
"
844,"But what they were, no thyng he ne woot.
","what they were, no one knew. No one knew what they were."," What they were, no one knew.","But who they were, he knew nothing.
"
845,"This duc his courser with his spores smoot,
",the duchess's courser with the spores is smooth., The duchess with the spores is smooth.,"This duke smote his warhorse with his spurs,
"
846,"And at a stert he was bitwix hem two,
","he was bitten by a stert, two, and then he was bitten by a stert."," He was bitten by a stert, two, and then he was bitten by a stert.","And with a sudden leap he was between them two,
"
847,"And pulled out a swerd and cride, ""Hoo!
","""oh, my God!"" Said the dwarf, and he pulled a swerd and cruncher. ""Oh, my God!"" Said the dwarf, and..."," "" Oh, my God! ""","And pulled out a sword and cried, ""Stop!
"
848,"Namoore, up peyne of lesynge of youre heed!
","you're going to be a great man, you'll be a great man!"," You are a great man, you will be a great man!","No more, on the penalty of the loss of your head!
"
849,"By myghty Mars, he shal anon be deed
","myghty Mars, he's gonna do it, he's gonna do it, he's gonna do it, he's gonna do it, he's gonna do..."," Myghty Mars, heâĢĻs gonna do it, heâĢĻtâĢĻtâĢĻtâĢĻtâĻtâ�","By mighty Mars, he shall at once be dead
"
850,"That smyteth any strook that I may seen.
",I'll take a look at the strok I saw., I will take a look at the strok I saw.,"Who smites any stroke that I can see.
"
851,"But telleth me what myster men ye been,
","tell me what you've been, what you've done, what you've done, what you've done, what you've done,..."," Tell me what you have been, what you have done, what you have done, what you did, what you did, what you did, what you did, what you did, what you did, what you did, what you did, what you did, what you did, what you did","But tell me what sort of men you are,
"
852,"That been so hardy for to fighten heere
","it's hard to fight him, he's tough to fight him."," It is hard to fight him, he is tough to fight him.","Who are so bold as to fight here
"
853,"Withouten juge or oother officere,
","the office of the Office of the Secretary of State, the Secretary of State, the Secretary of State,..."," The office of the office of the Secretary of State, the Secretary of State, the Secretary of State, the Secretary of ","Without judge or other officer,
"
854,"As it were in a lystes roially.""
","""as it were in the Lystes of the roial."""," "" As it were in the Lystes of the roial","As it would be in a properly conducted duel,""
"
855,"This Palamon answerde hastily
","Palamon answered quickly, and quickly answered the question."," Palamon answered quickly, and quickly answered the question.","This Palamon answered hastily
"
856,"And seyde, ""Sire, what nedeth wordes mo?
","Sir, what do you say, sir, what's the word of the word?"," Sir, what do you say, sir, what is the word of the word?","And said, ""Sire, what more words are needed?
"
857,"We have the deeth disserved bothe two.
",we have a deeth disowned by the two., We have deeth disowned by the two.,"We have deserved the death, both of us two.
"
858,"Two woful wrecches been we, two caytyves,
","two caytyves, two caytyves, two caytyves, two caytyves, two caytyves, two cayty"," Two caytyves, two caytyves, two caytyves, two cayty","Two woeful wretches are we, two miserable people,
"
859,"That been encombred of oure owene lyves;
",the oure owene lyves were encombed with oure owene lyves;, The oure owene lyves were encombed with oure owene lyves;,"Who are burdened down by our own lives;
"
860,"And as thou art a rightful lord and juge,
","as you're a rightful lord and king, so you're a king."," As you are a rightful lord and king, so you are a king.","And as thou art a rightful lord and judge,
"
861,"Ne yif us neither mercy ne refuge,
","we don't want to be killed, but we don't want to be killed."," We don't want to be killed, but we don't want to be killed","Give us neither mercy nor refuge,
"
862,"But sle me first, for seinte charitee!
","I'll be the first one to go, for the sake of the seinte charitee!"," I will be the first one to go, for the sake of the seinte charitee!","But slay me first, by holy charity!
"
863,"But sle my felawe eek as wel as me;
","as well as me, I'm like a felawe eek."," As well as me, as well as me, as well as me, as well as me, as well as me, as well as me, as well as me, as well as me, as well as me, as well as well as me, as well as me, as well as me, as well as well as me","But slay my fellow also as well as me;
"
864,"Or sle hym first, for though thow knowest it lite,
","but first, for though he knows it's a little light, he's still a little light."," But first, for though he knows it's a little light, he still knows it's a little light.","Or slay him first, for though thou little knowest it,
"
865,"This is thy mortal foo, this is Arcite,
","this is your mortal enemy, this is Arctite, Arctite, Arctite, Arctite, Arctite, Arctite, Arct"," This is your mortal enemy, this is Arctite, this is Arctite, this is Arctite, this is Arctite, this is Arctite, this is Arctite, this is Arctite, this is Arctite","This is thy mortal foe, this is Arcite,
"
866,"That fro thy lond is banysshed on his heed,
","the lond is bared to your ears, and the lond is bared to your eyes."," The lond is bared to thy ears, and the lond is bared to thy eyes.","Who is banished from thy land on (pain of losing) his head,
"
867,"For which he hath deserved to be deed.
","he deserves it, he deserves it, he deserves it, he deserves it."," He deserves it, he deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it, deserves it","For which he has deserved to be dead.
"
868,"For this is he that cam unto thy gate
",he's the one who's gonna be on your door for you., HeâĢĻs the one thatâĢĻs on your door for thee.,"For this is he that came unto thy gate
"
869,"And seyde that he highte Philostrate.
",he said he would be Philostrate., He said he would be Philostrate.,"And said that he was called Philostrate.
"
870,"Thus hath he japed thee ful many a yer,
","he's been a lot of fun, and he's been a lot of fun, too. He was a lot of fun. He was a lot of fun...."," He was a lot of fun, and he was a lot of fun, too.","Thus has he tricked thee for many years,
"
871,"And thou hast maked hym thy chief squier;
",you've made a chief squire of your own.," You made a chief squire of your own,","And thou hast made him thy chief squire;
"
872,"And this is he that loveth Emelye.
","he loves Emelye, and he loves her."," He loves Emelye, and he loves her.","And this is he that loves Emelye.
"
873,"For sith the day is come that I shal dye,
","when I'm done with the dye, I'll dye it."," When I am done dye, I will dye it.","For since the day is come that I must dye,
"
874,"I make pleynly my confessioun
","I confess to you, I'm a pleynly confessor."," I confess to thee, I am a pleynly confessor.","I make plainly my confession
"
875,"That I am thilke woful Palamoun
","I'm a terrible Palamoun, I'm a terrible Palamoun."," I am a terrible Palamoun, I am a terrible Palamoun.","That I am that same woeful Palamon
"
876,"That hath thy prisoun broken wikkedly.
",your prisoun has broken the wikkedly., Your prisoun has broken the wikkedly.,"That wickedly has broken (out of) thy prison.
"
877,"I am thy mortal foo, and it am I
","I'm your mortal enemy, and I'm yours."," I am your mortal enemy, and yours.","I am thy mortal foe, and it is I
"
878,"That loveth so hoote Emelye the brighte
","lovely, the love of the love of the love of the love of the love of the love of the love of the..."," Lovely, the love of the love of the love of the love of the love of the love of the love of the love of the love of the love of the...","Who loves the beautiful Emelye so passionately
"
879,"That I wol dye present in hir sighte.
",I'm gonna dye my eyes in your sight., I dye my eyes in thy sight.,"That I will die at this moment in her sight.
"
880,"Wherfore I axe deeth and my juwise;
","I'm gonna axe my head and my head, and I'll be fine."," IâĢĻll axe my head and my head, and IâĢĻll be fine.","Therefore I ask death and my judicial sentence;
"
881,"But sle my felawe in the same wise,
",so that the felawe is the same as the felawe., So that felawe is the same as the felawe.,"But slay my fellow in the same way,
"
882,"For bothe han we deserved to be slayn.""
","""we should have killed him."" Bothehana we should have killed him. """," "" We should have killed him. ""","For we have both deserved to be slain.""
"
883,"This worthy duc answerde anon agayn,
","an excellent answer to the question of the duchess, anon agayn."," An excellent answer to the duchess, anon agayn.","This worthy duke answered at once in reply,
"
884,"And seyde, ""This is a short conclusioun.
","""it's a short statement, but it's a short statement."," "" It's a short statement, but it's a short statement.","And said, ""This is a brief (easy) decision.
"
885,"Youre owene mouth, by youre confessioun,
","you're a mouth, by your confession, you're a mouth, by your confession."," You are a mouth, by your confession, you are a mouth, by your confession.","Your own mouth, by your confession,
"
886,"Hath dampned yow, and I wol it recorde;
","he was wet, and I was wet, and I was wet;"," He was wet, and I was wet;","Has condemned you, and I will pronounce it;
"
887,"It nedeth noght to pyne yow with the corde.
","nodeth noght, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth"," Numb, nodeth noght, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth, ","There is no deed to torture you with the cord.
"
888,"Ye shal be deed, by myghty Mars the rede!""
","""by myghty Mars, I'm done with it!"" Said the old man.'"," ""By myghty Mars, I am done with it!","You shall be dead, by mighty Mars the red!""
"
889,"The queene anon, for verray wommanhede,
","queen Anon, for the sake of the womenfolk, for the sake of the womenfolk."," Queen Anon, for the sake of the womenfolk, for the sake of the womenfolk.","The queen at once, for true womanliness,
"
890,"Gan for to wepe, and so dide Emelye,
","wepe, and so dide Emelye, and so dide Emelye, and so dide Emelye, and so dide"," And so dide Emelye, and so dide Emelye, and so dide Emelye, and so dide","Began to weep, and so did Emelye,
"
891,"And alle the ladyes in the compaignye.
",all the ladies in the compaigne., All the ladies in the compaigne.,"And all the ladies in the company.
"
892,"Greet pitee was it, as it thoughte hem alle,
","it was a little like a pitee, as it were, a pitee."," It was a little like a pitee, as it were, a pitee.","Great pity was it, as it seemed to them all,
"
893,"That evere swich a chaunce sholde falle,
","evere's a chaunce sholder, a chaunce sholder, a chaunce sholder."," evere a chaunce sholder, evere a chaunce sholder,","That ever such a misfortune should occur,
"
894,"For gentil men they were of greet estaat,
","they were welcome to the gentiles, they were welcome to the gentiles."," And they were welcome to the gentiles, they were welcome to the gentiles.","For they were gentle men of high rank,
"
895,"And no thyng but for love was this debaat;
","this is a debaat for love, not for love."," This is a debaat for love, not for love.","And this debate was for nothing but love;
"
896,"And saugh hir blody woundes wyde and soore,
","the saugh hir blokey wounds wyde and soore,
the saugh hir blokey wounds wyde and soore", The saugh hir blokey wounds wyde and soore,"And saw their bloody wounds wide and sore,
"
897,"And alle crieden, bothe lasse and moore,
","all of them cried, and they were all crying, and they cried, and they cried, and they cried, and..."," And all the people cried, and all the children of Israel cried, and they cried, and they cried, and they cried, and they cried, and they cried, and they cried, and they cried, and they cried, and they cried, and they cried, and they cried","And all cried, both low ranking and high,
"
898,"""Have mercy, Lord, upon us wommen alle!""
","oh, my God, for us, Lord, for us! 'Cause we're women! 'Cause we're women! 'Cause we're women! '"," O God, for us, Lord, for us!","""Have mercy, Lord, upon all of us women!""
"
899,"And on hir bare knees adoun they falle
","on the bare knees of the hir knees, they ran."," On bare knees, they ran.","And they fall down on their bare knees
"
900,"And wolde have kist his feet ther as he stood;
","he stood up and wrenched his feet from the ground;
he stood up and wrenched his feet from the...", He stood up and wrenched his feet from the ground;,"And would have kissed his feet there where he stood;
"
901,"Til at the laste aslaked was his mood,
","the mood of the last was a mood of despair, and he was despairing."," The last was a mood of despair, and he was despairing.","Until at the last his mood was calmed,
"
902,"For pitee renneth soone in gentil herte.
",pitee renneth soone in gentil herte., pitee renneth soone in gentil herte.,"For pity comes soon to a gentle heart.
"
903,"And though he first for ire quook and sterte,
","but then he was angry with the quilt, and he was angry with the quilt."," But then he was angry with the quilt, and was angry with the quilt.","And though he first for anger shook and trembled,
"
904,"He hath considered shortly, in a clause,
","he's thinking of the clause, and he's thinking of the clause, and he's thinking of the clause, and..."," He thinks of the clause, and he thinks of the clause, and he thinks of the clause, and he thinks of the clause, and he thinks of the clause, and he thinks of the clause, and he thinks of the clause, and he thinks of the clause, and he thinks of the","He has considered shortly, in brief,
"
905,"The trespas of hem bothe, and eek the cause,
","the cause of the breach of the law, and the cause of the breach of the law."," The cause of the breach of the law, and the cause of the breach of the law.","The trespass of them both, and also the cause,
"
906,"And although that his ire hir gilt accused,
","although he accused him of being a traitor, he was not a traitor."," Though he accused him of being a traitor, he was not a traitor.","And although his anger reproached them for their guilt,
"
907,"Yet in his resoun he hem bothe excused,
","he apologized, and said he was sorry. He said he was sorry. He apologized. He apologized. He...", He said he was sorry.,"Yet in his reason he excused them both,
"
