,original,paraphrase,output,output_reference
754,"And bring armor right enough for thee;
",you'll have enough armor for you;, You shall have enough armor for thee;,"And bryngen harneys right ynough for thee;
"
755,"And choose the best, and leave the worst for me.
","choose the best, and leave the worst for me."," And choose the best, and leave the worst for me.","And ches the beste, and leef the worste for me.
"
756,"And food and drink this night will I bring
",I'll bring a little food and a little drink tonight., I bring a little food and a little drink tonight,"And mete and drynke this nyght wol I brynge
"
757,"Enough for thee, and bed-clothes for thy bedding.
","you'll have a bed, a bed, a bed, a bed, a bed, a bed, a bed, a bed, a bed,"," You'll have a bed, a bed, a bed, a bed, a bed, a bed, a bed, a bed, a bed, a bed, a bed, a ","Ynough for thee, and clothes for thy beddynge.
"
758,"And if it so be that thou win my lady,
","if you're my lady, I'll be happy to give you my lady."," If you are my lady, I will give you my lady.","And if so be that thou my lady wynne,
"
759,"And slay me in this wood where I am in,
",kill me in the woods where I'm in., Kill me in the woods where I am in,"And sle me in this wode ther I am inne,
"
760,"Thou mayest well have thy lady as far as I am concerned.""
","""I'm sure you'll have your lady as much as I do."""," "" I am sure you will have your lady as much as I do.","Thow mayst wel have thy lady as for me.""
"
761,"This Palamon answered, ""I agree.""
","""I'm sure,"" Palamon said, ""I'll take it."" He nodded. He was silent for a moment. He looked up and..."," "" I will take it, "" said Palamon, "" I will take it. ""","This Palamon answerde, ""I graunte it thee.""
"
762,"And thus they are departed until morning,
",so they will be taken away by morning., And so they shall be taken away by morning.,"And thus they been departed til amorwe,
"
763,"When each of them had laid his faith as a pledge.
",each of them has pledged to be a promise., Each one hath pledged to be a promise.,"Whan ech of hem had leyd his feith to borwe.
"
764,"O Cupid, devoid of all kindness to others!
","he's not a nice guy, he's not a nice guy, he's not a nice guy."," He is not a nice man, he is not a nice man, he is not a nice man.","O Cupide, out of alle charitee!
"
765,"O reign, that will have no partner with thee!
",you don't have a partner with you in this reign!, You have not a partner with thee in this reign!,"O regne, that wolt no felawe have with thee!
"
766,"Full truly it is said that love nor lordship
",love and lordship are really said to be love and lordship., Love and lordship are really said to be love and lordship.,"Ful sooth is seyd that love ne lordshipe
"
767,"Will not, willingly, have any partnership.
","no, I'm not willing to have any partnership."," No, I am not willing to have any partnership.","Wol noght, his thankes, have no felaweshipe.
"
768,"Arcite and Palamon well find that (to be true).
","they're right, they're right, they're right, they're right, they're right, they're right, they're..."," They are right, they are right, they are right, they are right, they are right, they are right, they are right, they are right, they are right, they are right, they are right, they are right, they are right, they are right,","Wel fynden that Arcite and Palamoun.
"
769,"Arcite has ridden immediately into the town,
","the city was immediately in the city, and the city was immediately in the city."," And the city was immediately in the city, and the city was immediately in the city.","Arcite is riden anon unto the toun,
"
770,"And on the morning, before it was day's light,
","before the sun rose, the sun was shining."," Before the sun rose, the sun shone.","And on the morwe, er it were dayes light,
"
771,"Very secretly he has prepared two sets of armor,
","he's secretly preparing two sets of armor, and he's preparing them for the battle."," And he secretily prepare two sets of armor, and prepare them for the battle.","Ful prively two harneys hath he dight,
"
772,"Both sufficient and suitable to decide
",the appropriate and appropriate decision-making is sufficient and appropriate for the..., The appropriate and appropriate decision-making is sufficient and appropriate for the...,"Bothe suffisaunt and mete to darreyne
"
773,"The battle in the field between them two;
",the battle between them in the field;, The battle between them in the field;,"The bataille in the feeld bitwix hem tweyne;
"
774,"And on his horse, alone as he was born,
","he was born alone, and he was born alone. He was born alone, and he was born alone. He was born..."," He was born alone, and was born alone.","And on his hors, allone as he was born,
"
775,"He carries all the armor before him.
",he's carrying all the armor before him., He carries all the armor before him.,"He carieth al the harneys hym biforn.
"
776,"And in the grove, at time and place set,
","in the grove, at the time and place of the ceremony,"," At the grove, at the time and place of the ceremony,","And in the grove, at tyme and place yset,
"
777,"This Arcite and this Palamon are met.
",they meet with Arcite and Palamon., And they meet with Arcite and Palamon.,"This Arcite and this Palamon ben met.
"
778,"The color in their faces began to change;
",the color of the face changed in the face of the color;, The face of the face changed in the color;,"To chaungen gan the colour in hir face;
"
779,"Just as the hunters in the reign of Thrace,
","as the hunters of Thrace, as the hunters of Thrace,"," As the hunters of Thrace, as the hunters of Thrace,","Right as the hunters in the regne of Trace,
"
780,"He who stands at the gap in the forrest with a spear,
","who's standing in the gap between the woods and the woods,"," Who is standing in the gap between the woods and the woods,","That stondeth at the gappe with a spere,
"
781,"When the lion or the bear is hunted,
",the lion or the bear will be hunted., The lion or bear shall be hunted.,"Whan hunted is the leon or the bere,
"
782,"And hears him come rushing in the bushes,
","he's coming in the bushes, and he's running away."," He comes in the bushes, and run away.","And hereth hym come russhyng in the greves,
"
783,"And breaks both boughs and the leaves,
","the leaves and the leaves are broken, the leaves and the leaves are broken."," And the leaves and the leaves are broken, the leaves and the leaves are broken.","And breketh bothe bowes and the leves,
"
784,"And thinks, ""Here comes my mortal enemy!
","""there's my mortal enemy!"" Said the man, thinking. ""I'm going to kill him!"""," "" ThereâĢĻs my mortal foe! ""","And thynketh, ""Heere cometh my mortal enemy!
"
785,"Without fail, he must be dead, or I,
","he must have died, or I would have killed him."," He must have died, or I would have killed him.","Withoute faille, he moot be deed, or I,
"
786,"For either I must slay him at the gap,
",I'm going to kill him in the gap.," I will kill him in the gap,","For outher I moot sleen hym at the gappe,
"
787,"Or he must slay me, if I suffer misfortune.""
","if I'm in trouble, he must have killed me. """," If I be in trouble, he must have killed me.","Or he moot sleen me, if that me myshappe.""
"
788,"So fared they in changing colors of their faces,
",they changed the color of their faces in the color of the color., They changed the color of their faces in the color of the color of the color.,"So ferden they in chaungyng of hir hewe,
"
789,"When each of them knew the other.
",each of them knew the other., Each of them knew the other.,"As fer as everich of hem oother knewe.
"
790,"There was no 'good day,' nor no salutations,
","no thank you, no thank you, no thank you, no thank you, no thank you, no thank you, no thank you,"," No thank you, no thank you, no thank you, no thank you, no thank you, no thank you, no thank you, no thank you, no thank you, no thank you, no thank you, no","Ther nas no good day, ne no saluyng,
"
791,"But straightway, without word or conversing,
","without word or word, without word, without word, without word, without word, without word, without..."," Without word or word, without word, without word, without word, without word, without word, without word, without word, without word, without word, without word, without word, without word,","But streight, withouten word or rehersyng,
"
792,"Each one of them helped to arm the other
",each of them helped the other to arm himself., Each of them helped the other to arm himself.,"Everich of hem heelp for to armen oother
"
793,"As friendly as if he were his own brother;
",as if he were his brother-in-law;, As if he were his brother-in-law;,"As freendly as he were his owene brother;
"
794,"And after that, with sharp strong spears
","then he was able to move quickly and quickly, with a sharp spear."," Then he was able to move quickly and quickly, with a sharp spear.","And after that, with sharpe speres stronge
"
795,"They thrust at each other a wonderfully long time.
","they both moved very slowly, and they both moved very slowly."," And they both moved very slowly, and they both moved very slowly.","They foynen ech at oother wonder longe.
"
796,"Thou mightest suppose that this Palamon
",you might think Palamon is a little bit of a Palamon., You might think Palamon is a little bit of a Palamon.,"Thou myghtest wene that this Palamon
"
797,"In his fighting was a mad lion,
","he fought with a wild lion, and he was a wild lion."," And fought with a wild lion, and was a wild lion.","In his fightyng were a wood leon,
"
798,"And Arcite was like a cruel tiger;
","Arcite was a cruel tiger, like a tiger."," Arcite was a cruel tiger, like a tiger.","And as a crueel tigre was Arcite;
"
799,"They began to smite like wild boars,
","they began to attack like wild beasts, and they began to attack like wild beasts."," And they began to attack like wild beasts, and began to attack like wild beasts.","As wilde bores gonne they to smyte,
"
800,"That froth at the mouth white as foam for mad anger.
","a white foam of anger, as foam on the mouth."," A white foam of anger, as foam on the mouth.","That frothen whit as foom for ire wood.
"
801,"They fought up to the ankle in their blood.
",they fought with blood on their ankles., They fought with blood on their feet.,"Up to the ancle foghte they in hir blood.
"
802,"And in this manner I leave them to remain fighting,
","I'll leave them to fight, so they can keep fighting."," I will leave them to fight, so they can keep fighting.","And in this wise I lete hem fightyng dwelle,
"
803,"And forth I will tell you of Theseus.
",I'll tell you about theseus in the next time.," I will tell you in the next time,","And forth I wole of Theseus yow telle.
"
804,"The destiny, general minister,
","the fate of the general, the general's fate, the fate of the general."," The fate of the general, the general's fate, the fate of the general.","The destinee, ministre general,
"
805,"That executes in the world everywhere
",it's a world where the world is everywhere., It is a world where the world is everywhere.,"That executeth in the world over al
"
806,"The providence that God has foreseen,
","the fact that God has foreseen it, the fact that God is foreseen, the fact that God is foreseen."," The fact that God is foretold, the fact that God is foreseen, the fact that God is foreseen, the fact that God is foreseen, the fact that God is foreseen, the fact that God is foreseen, the fact that God is foreseen, the fact","The purveiaunce that God hath seyn biforn,
"
807,"So strong it is that, though the world had sworn
","but the world has sworn to the world, but the world has sworn to the world."," But the world hath sworn to the world, but the world hath sworn to the world.","So strong it is that, though the world had sworn
"
808,"The contrary of a thing by yes or no,
","yes or no, yes or no, yes or no, yes or no, yes or no, yes or no, yes or no,"," Yes or no, yes or no, yes or no, yes or no, yes or no, yes or no, yes or no,","The contrarie of a thyng by ye or nay,
"
809,"Yet sometimes it shall happen on one day
",sometimes it's going to happen on a day., Sometimes it's going to happen.,"Yet somtyme it shal fallen on a day
"
810,"That happens not again in a thousand years.
",it's not going to happen in a thousand years., It is not to happen in a thousand years.,"That falleth nat eft withinne a thousand yeer.
"
811,"For certainly, our desires here,
","we want to be here, but we want to be here, but we want to be here."," We want to be here, but we want to be here, but we want to be here.","For certeinly, oure appetites heer,
"
812,"Be it of war, or peace, or hate, or love,
","it's a war, or peace, or hatred, or love."," It is a war, or peace, or hatred, or love.","Be it of werre, or pees, or hate, or love,
"
813,"All this is ruled by the foresight above.
",this is governed by the foresight of the previous., This is governed by the foresight of the previous.,"Al is this reuled by the sighte above.
"
814,"I mean this now in regard to mighty Theseus,
","in the context of great Theseus, this is now a question of great importance."," In the context of great Theseus, this is now a question of great importance.","This mene I now by myghty Theseus,
"
815,"Who is so desirous to hunt,
","he wants to hunt, but he's not interested in hunting."," He wants to hunt, but he doesn't want to hunt.","That for to hunten is so desirus,
"
816,"And especially at the large hart in May,
","especially in the big hart in May, especially in the big hart."," And especially in the big hart in May, especially in the big hart","And namely at the grete hert in May,
"
817,"That in his bed there dawns for him no day
","he's not going to sleep in his bed today, but tomorrow."," He is not to sleep in his bed, but tomorrow.","That in his bed ther daweth hym no day
"
818,"That he is not clad, and ready to ride
","he's not dressed, and he's ready to go."," He is not dressed, and ready to go.","That he nys clad, and redy for to ryde
"
819,"With huntsman and horn and hounds beside him.
","he was surrounded by hunters and hounds, and he was surrounded by the horn and the dog."," And he was surrounded by hunters and hounds, and he was surrounded by the horn and the dog.","With hunte and horn and houndes hym bisyde.
"
820,"For in his hunting he has such delight
","he's so happy to be hunting, he's happy to be hunting."," HeâĢĻs so happy to be hunting, heâĢĻs so happy to be hunting.","For in his huntyng hath he swich delit
"
821,"That it is all his joy and desire
",it's all his joy and desire for joy and desire., All his joy and desire for joy and for joy and desire,"That it is al his joye and appetit
"
822,"To be himself the large hart's slayer,
",to be the big hunter of the big hart., To be the big hunter of the hart.,"To been hymself the grete hertes bane,
"
823,"For next to Mars he now serves Diana.
",Diana now serves him with Diana., Now Diana serves him with Diana.,"For after Mars he serveth now Dyane.
"
824,"The day was clear, as I have told before this,
","I've told you before, it was clear that the day was clear."," And I told thee before, that the day was clear.","Cleer was the day, as I have toold er this,
"
825,"And Theseus with all joy and bliss,
","and all joy and joy, and joy, and joy, and joy, and joy, and joy, and joy, and joy, and"," And all joy and joy, and all joy, and all joy, and all joy, and all joy, and ","And Theseus with alle joye and blis,
"
826,"With his Ypolita, the faire queen,
","the queen of the fairies, the fairies of the fairies, the fairies of the fairies, the fairies of..."," The queen of fairies, the fairies of the fairies, the fairies of the fairies, the fairies of the fairies, the fairies of...","With his Ypolita, the faire queene,
"
827,"And Emelye, clothed all in green,
","Emelye, dressed in green, with a green hat."," Emelye, dressed in green, with a green hat.","And Emelye, clothed al in grene,
"
828,"On hunting they are ridden royally.
",they're ridden royally in the hunt., And they are ridden royally in the hunt,"On huntyng be they riden roially.
"
829,"And to the grove that stood very close by,
","to the grove that stood in the distance,"," To the grove that stood in the distance,","And to the grove that stood ful faste by,
"
830,"In which there was a hart, so people told him,
","and he was told by a hart, so he was told by a hart."," And he was told by a hart, that he was told by a hart, so he was told by a hart.","In which ther was an hert, as men hym tolde,
"
831,"Duke Theseus has held the straight way.
",Duke Thisus has taken the straight path., Duke Thisus has taken the straight path.,"Duc Theseus the streighte wey hath holde.
"
832,"And directly to the glade he rides,
",he's going straight to the glade., He goes straight to the glade.,"And to the launde he rideth hym ful right,
"
833,"For through there the hart was accustomed to take his escape,
",he was accustomed to escape from the hart., He was accustomed to escape from the hart.,"For thider was the hert wont have his flight,
"
834,"And (flee) over a brook, and so forth on his way.
","he ran into a brook, and then he ran away."," And ran into a brook, and then ran away.","And over a brook, and so forth on his weye.
"
835,"This duke will have a run or two at him
",the Duke will have a run or two., The Duke will run or stand.,"This duc wol han a cours at hym or tweye
"
836,"With such hounds as he pleases to command.
",he can command such hounds as he likes., He can command such hounds as he likes.,"With houndes swiche as that hym list comaunde.
"
837,"And when this duke was come unto the glade,
","when the Duke came to the garden, he was greeted by the crowd."," And when the Duke came to the garden, he was greeted by the crowd.","And whan this duc was come unto the launde,
"
838,"He looks toward the sun, and immediately
","he looks into the sun, and immediately looks into the sun."," And he that looketh into the sun,","Under the sonne he looketh, and anon
"
839,"He was aware of Arcite and Palamon,
","he knew Arcite and Palamon, and he knew Palamon."," And he knew Arcite and Palamon, and knew Palamon.","He was war of Arcite and Palamon,
"
840,"Who fought as fiercely as if it were two wild boars.
",he fought like two wild beasts., He fought like two wild beasts.,"That foughten breme as it were bores two.
"
841,"The bright swords went to and fro
",the bright swords moved in and out of the sword., The bright swords moved in and out of the sword.,"The brighte swerdes wenten to and fro
"
842,"So hideously that with the weakest stroke
","with the weakest stroke, it's a shame."," With the weakest stroke, it is a shame.","So hidously that with the leeste strook
"
843,"It seemed as if it would fell an oak.
",it seemed like an oak was falling., It seemed like an oak fell.,"It semed as it wolde felle an ook.
"
844,"But who they were, he knew nothing.
","he didn't know who they were, but he knew nothing about them."," He knew nothing of them, but he knew nothing of them.","But what they were, no thyng he ne woot.
"
845,"This duke smote his warhorse with his spurs,
",the duke struck his horse with his spear., The duke struck his horse with his spear.,"This duc his courser with his spores smoot,
"
846,"And with a sudden leap he was between them two,
","he leapt into the air and flew away. He was suddenly in the air, and he flew away. He jumped into...", And leapt into the air and flew away.,"And at a stert he was bitwix hem two,
"
847,"And pulled out a sword and cried, ""Stop!
","""stop!"" Said the sword, and the sword was drawn."," "" Stop!"" Said the sword, and the sword was drawn.","And pulled out a swerd and cride, ""Hoo!
"
848,"No more, on the penalty of the loss of your head!
",and the penalty for losing your head!, And the penalty for losing your head!,"Namoore, up peyne of lesynge of youre heed!
"
849,"By mighty Mars, he shall at once be dead
",he will be dead by mighty Mars., He will be dead by mighty Mars.,"By myghty Mars, he shal anon be deed
"
850,"Who smites any stroke that I can see.
",I'm gonna hit any stroke I can see., I hit any stroke I can see.,"That smyteth any strook that I may seen.
"
851,"But tell me what sort of men you are,
","tell me what kind of men you are, and I'll tell you what kind of man you are."," And tell me what kind of men you are, and I'll tell you what kind of man you are.","But telleth me what myster men ye been,
"
852,"Who are so bold as to fight here
",they're so bold to fight here., They are so bold to fight here.,"That been so hardy for to fighten heere
"
853,"Without judge or other officer,
","judge or other judge, judge or judge, judge or judge, judge or judge, judge or judge, judge or..."," Judge or other judge, judge or judge, judge or judge, judge or judge, judge or judge, judge or judge, judge or judge or judge, judge or judge, judge or judge, judge or judge, judge or judge, judge or judge, judge or judge, judge","Withouten juge or oother officere,
"
854,"As it would be in a properly conducted duel,""
","""in a proper duel,"" he said, ""it would be a good thing."""," "" In a proper duel, he said, "" it would be a good thing. ""","As it were in a lystes roially.""
"
855,"This Palamon answered hastily
","""I'm sorry, but I'm afraid I don't have any more time to talk to you."" Palamon said hastily."," "" I am sorry, but I am afraid I cannot speak to you more.","This Palamon answerde hastily
"
856,"And said, ""Sire, what more words are needed?
","""Sir, what else do you want to say, sir?"" Said the captain."," And said, What else do you want to say, sir?","And seyde, ""Sire, what nedeth wordes mo?
"
857,"We have deserved the death, both of us two.
","both of us deserved it, both of us."," Both of us deserved it, both of us.","We have the deeth disserved bothe two.
"
858,"Two woeful wretches are we, two miserable people,
","we're two miserable people, two miserable people, two miserable people."," We are two miserable people, two miserable people, two miserable people.","Two woful wrecches been we, two caytyves,
"
859,"Who are burdened down by our own lives;
",we are burdened by our own lives;, We are beset with our own lives;,"That been encombred of oure owene lyves;
"
860,"And as thou art a rightful lord and judge,
","as you're a real ruler and judge, so you're a real ruler."," As you are a real ruler and judge, so you are a real ruler.","And as thou art a rightful lord and juge,
"
861,"Give us neither mercy nor refuge,
","we don't give up, we don't give up, we don't give up, we don't give up, we don't give up, we don't..."," We don't give up, we don't give up, we don't give up, we don't give up, we don't give up, we don't give up, we don't give up, we don't give up, we","Ne yif us neither mercy ne refuge,
"
862,"But slay me first, by holy charity!
","kill me first, for the sake of God's charity!"," Kill me first, for the sake of God's charity!","But sle me first, for seinte charitee!
"
863,"But slay my fellow also as well as me;
",kill my friend and me too; kill my friend., Kill my friend and me; kill my friend.,"But sle my felawe eek as wel as me;
"
864,"Or slay him first, for though thou little knowest it,
","but kill him first, for he's not known to you."," But slay him first, for he is not known to you.","Or sle hym first, for though thow knowest it lite,
"
865,"This is thy mortal foe, this is Arcite,
","it's your mortal enemy, this is Arctite, Arctite, Arctite, Arctite, Arctite, Arct"," It is thy mortal foe, this is Arctite,","This is thy mortal foo, this is Arcite,
"
866,"Who is banished from thy land on (pain of losing) his head,
",on the head of the (pain of losing) his head., On the head of the (pain of losing) his head.,"That fro thy lond is banysshed on his heed,
"
867,"For which he has deserved to be dead.
",he deserved to die for what he deserves., He deserved to die for what he deserves.,"For which he hath deserved to be deed.
"
868,"For this is he that came unto thy gate
",he came to your door with a man. He was a man. He came to your door. He was a man. He came to your..., And he came unto thy door with a man.,"For this is he that cam unto thy gate
"
869,"And said that he was called Philostrate.
",he said he was called Philostrate., And he said he was called Philostrate.,"And seyde that he highte Philostrate.
"
870,"Thus has he tricked thee for many years,
","he's been deceiving you for years, and you've been fooled for years."," He hath deceived you for ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever, and ever,","Thus hath he japed thee ful many a yer,
"
871,"And thou hast made him thy chief squire;
",you've made him your chief of the knights., You made him your chief of the knights.,"And thou hast maked hym thy chief squier;
"
872,"And this is he that loves Emelye.
",that's the one who likes Emelye., ThatâĢĻs one who likes Emelye.,"And this is he that loveth Emelye.
"
873,"For since the day is come that I must dye,
","since the day I'm supposed to dye, I've been dyeing."," Since the day I was supposed to dye, I had been dyeing.","For sith the day is come that I shal dye,
"
874,"I make plainly my confession
","I'm telling you straight, I'm telling you straight, I'm telling you straight, I'm telling you..."," I tell you straight, I tell you straight, I tell you straight, I'm telling you straight, I'm telling you straight, I'm telling you straight, I'm telling you straight, I'm telling you straight","I make pleynly my confessioun
"
875,"That I am that same woeful Palamon
",I'm the same miserable Palamon as I was before., I am the same miserable Palamon as before.,"That I am thilke woful Palamoun
"
876,"That wickedly has broken (out of) thy prison.
",he broke your prison and escaped. He's out of jail., He broke your prison and escaped.,"That hath thy prisoun broken wikkedly.
"
877,"I am thy mortal foe, and it is I
","I'm your mortal enemy, and I'm your mortal enemy."," I am thy mortal foe, and I am thy mortal foe.","I am thy mortal foo, and it am I
"
878,"Who loves the beautiful Emelye so passionately
",he loves the beautiful Emelye so passionately., He loves the beautiful Emelye so passionately.,"That loveth so hoote Emelye the brighte
"
879,"That I will die at this moment in her sight.
",I'm going to die in her eyes now., I shall die in her eyes now.,"That I wol dye present in hir sighte.
"
880,"Therefore I ask death and my judicial sentence;
",I'm asking for death and my death sentence;, I ask for death and my death sentence;,"Wherfore I axe deeth and my juwise;
"
881,"But slay my fellow in the same way,
","kill my friend the same way, kill my friend."," Kill me the same way, kill me","But sle my felawe in the same wise,
"
882,"For we have both deserved to be slain.""
","we're both deserving of death. """," We both deserve death, "" he said.","For bothe han we deserved to be slayn.""
"
883,"This worthy duke answered at once in reply,
","in response, the duke answered immediately, and the reply was answered immediately."," The duke answered immediately, and the reply was answered immediately.","This worthy duc answerde anon agayn,
"
884,"And said, ""This is a brief (easy) decision.
","""it's a short (easy) decision,"" he said."," "" It's a short decision, "" he said. ""","And seyde, ""This is a short conclusioun.
"
885,"Your own mouth, by your confession,
","your mouth, by your confession, your mouth, by your confession."," Your mouth, by your confession, your mouth, by your confession.","Youre owene mouth, by youre confessioun,
"
886,"Has condemned you, and I will pronounce it;
","I'm gonna tell you, and I'll tell you, and I'll tell you, and I'll tell you, and I'll tell you,"," I will tell you, and I will tell you, and I will tell you, and I will tell you, and I will tell you, and I will ","Hath dampned yow, and I wol it recorde;
"
887,"There is no deed to torture you with the cord.
",the torture of the cord is not a deed., The torture of the cord is not a deed.,"It nedeth noght to pyne yow with the corde.
"
888,"You shall be dead, by mighty Mars the red!""
","the red Mars will be dead, by the mighty Mars!'"," The red Mars shall be dead, by the mighty Mars!","Ye shal be deed, by myghty Mars the rede!""
"
889,"The queen at once, for true womanliness,
","the Queen, for the sake of true womanhood,"," The Queen, for the sake of true womanhood,","The queene anon, for verray wommanhede,
"
890,"Began to weep, and so did Emelye,
","she began to cry, and Emelye began to cry."," Emelye began to cry, and Emelye began to cry.","Gan for to wepe, and so dide Emelye,
"
891,"And all the ladies in the company.
",all the ladies in the company., All the ladies in the company,"And alle the ladyes in the compaignye.
"
892,"Great pity was it, as it seemed to them all,
","it was a shame, as they seemed to be all, that they had come."," It was a shame, as they seemed to be all, that they came.","Greet pitee was it, as it thoughte hem alle,
"
893,"That ever such a misfortune should occur,
","any misfortune should be expected to happen to anyone, no matter what."," Any misfortune should be expected to befall any one, no matter what.","That evere swich a chaunce sholde falle,
"
894,"For they were gentle men of high rank,
","they were gentlemen of high rank, and they were gentle men."," They were gentlemen of high rank, and they were gentle men.","For gentil men they were of greet estaat,
"
895,"And this debate was for nothing but love;
",it was just love for the sake of love;, It was just love for the sake of love;,"And no thyng but for love was this debaat;
"
896,"And saw their bloody wounds wide and sore,
","they saw the bloody wounds on their bodies, and they were sore."," And they saw the bloody wounds on their bodies, and they were sore.","And saugh hir blody woundes wyde and soore,
"
897,"And all cried, both low ranking and high,
","everyone cried, both low and high, and everyone was crying."," And everyone cried, both low and high, and all was crying.","And alle crieden, bothe lasse and moore,
"
898,"""Have mercy, Lord, upon all of us women!""
","oh, my God, for all of us women! 'Cause we're all in danger! 'Cause we're all"," Oh, my God, for all of us women!","""Have mercy, Lord, upon us wommen alle!""
"
899,"And they fall down on their bare knees
",they're on their knees and they fall to the ground., They are on their knees and they fall to the ground.,"And on hir bare knees adoun they falle
"
900,"And would have kissed his feet there where he stood;
",he would have kissed his feet on the ground where he stood;, He would have kissed his feet on the ground where he stood;,"And wolde have kist his feet ther as he stood;
"
901,"Until at the last his mood was calmed,
",he calmed down and relaxed. He relaxed and relaxed. He relaxed and relaxed. He relaxed and relaxed...., He relaxed and relaxed.,"Til at the laste aslaked was his mood,
"
902,"For pity comes soon to a gentle heart.
",it's a shame soon comes to a gentle heart., It is a shame soon comes to a gentle heart.,"For pitee renneth soone in gentil herte.
"
903,"And though he first for anger shook and trembled,
","but then he shook and trembled, and then he shook and trembled."," But then he shook and trembled, and then shook and trembled.","And though he first for ire quook and sterte,
"
904,"He has considered shortly, in brief,
","in short, in short, in short, in short, in short, in short, in short, in short,"," In short, in short, in short, in short, in short, in short, in short, in short, in short, in short, in short, in short, in short, in short, in short, in short, in short, in short, in short, in short,","He hath considered shortly, in a clause,
"
905,"The trespass of them both, and also the cause,
","the cause of both, and also the cause of the trespass."," And the cause of the trespass, and the cause of the trespass.","The trespas of hem bothe, and eek the cause,
"
906,"And although his anger reproached them for their guilt,
","although he blamed them for their guilt, he was angry with them."," And though he had blame them for their guilt, he was angry with them.","And although that his ire hir gilt accused,
"
907,"Yet in his reason he excused them both,
",he blamed them both for the fact that they were both in the same place., And he blamed them both for the fact that they were both in the same place.,"Yet in his resoun he hem bothe excused,
"
908,"As thus: he thought well that every man
","he thought he would be able to do it, and he was right."," He thought he could do it, and he was right.","As thus: he thoghte wel that every man
"
909,"Will help himself in love, if he can,
","if he can, he will help himself to love."," If he can, he will help himself to love.","Wol helpe hymself in love, if that he kan,
"
910,"And also deliver himself out of prison.
",he was released from prison and released from prison., And he was released from prison and from prison.,"And eek delivere hymself out of prisoun.
"
911,"And also his heart had compassion
",he had compassion for his heart., He had compassion for his heart.,"And eek his herte hadde compassioun
"
912,"Of women, for they weep continually,
","women weep constantly, they cry, they cry, they cry, they cry, they cry, they cry, they cry"," Women weep continually, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry, they cry","Of wommen, for they wepen evere in oon,
"
913,"And in his gentle heart he thought straightway,
",he thought of the gentle heart of his heart., He thought of the gentle heart of his heart.,"And in his gentil herte he thoughte anon,
"
914,"And softly to himself he said, ""Fie
","""Fie"" to himself, ""Fie"" to himself, ""Fie"" to himself."," "" Fie"" to himself, ""Fie"" to himself, ""Fie"" to himself.","And softe unto hymself he seyde, ""Fy
"
915,"Upon a lord that will have no mercy,
",a lord who will not be pleased with mercy., A lord that will not be pleased with mercy.,"Upon a lord that wol have no mercy,
"
916,"But be a lion, both in word and deed,
","be a lion, both in words and deeds, a lion."," Be a lion, both in words and deeds, a lion.","But been a leon, bothe in word and dede,
"
917,"To those who are in repentance and fear,
","for those who have been forgiven, they will be forgiven."," For those that have been forgiven, they shall be forgiven.","To hem that been in repentaunce and drede,
"
918,"As well as to a proud, spiteful man
","and a proud, spiteful man who was proud of it."," And a proud, spiteful man that was proud of it.","As wel as to a proud despitous man
"
919,"Who will persist in what he first began.
",he will persist in what he started., He will persist in what he started.,"That wol mayntene that he first bigan.
"
920,"That lord has little sound judgment,
","the Lord is not very good at judgment, he's not very good at it."," The Lord is not very good at judgment, he is not very good at it.","That lord hath litel of discrecioun,
"
921,"That in such cases knows no distinctions
","in such cases, it does not know any distinctions between the sexes."," In such cases, it does not know any distinction between the sexes.","That in swich cas kan no divisioun
"
922,"But considers pride and humility equal.""
","he considers pride and humility as equal. """, He considers pride and humility as equal.,"But weyeth pride and humblesse after oon.""
"
923,"And shortly, when his anger is thus gone,
","when his anger is gone, he will be able to go."," And when his anger hath gone, he shall be able to go.","And shortly, whan his ire is thus agoon,
"
924,"He began to look up with bright eyes
","with bright eyes, he looked up at the sky."," With bright eyes, he saw the sky.","He gan to looken up with eyen lighte
"
925,"And spoke these same words all aloud:
",all of them spoke in unison:, All of them spoke in unison:,"And spak thise same wordes al on highte:
"
926,"""The god of love, ah, bless my soul!
","oh, my God, my soul, my soul, my soul, my soul, my soul, my soul, my"," Oh, my God, my soul, my soul, my soul, my soul, my soul, my soul, my soul, my soul, my soul, my soul, my soul, my soul, ","""The god of love, a benedicite!
"
927,"How mighty and how great a lord is he!
",how great and how great a king!, How great and how great a king!,"How myghty and how greet a lord is he!
"
928,"Against his power there avail no obstacles.
",there's no obstacle to his power., There is no obstacle to his power.,"Ayeyns his myght ther gayneth none obstacles.
"
929,"He may be called a god for his miracles,
","maybe he's a god for his miracles, maybe a god."," Perhaps he is a god for his miracles,","He may be cleped a god for his myracles,
"
930,"For he can make, as he pleases,
",he can make it as he likes., He can make it as he likes.,"For he kan maken, at his owene gyse,
"
931,"Of every heart whatever he wants to devise.
","every heart, whatever he wants to create."," Every heart, whatever he wants to create","Of everich herte as that hym list divyse.
"
932,"Lo here this Arcite and this Palamon,
","here's the Arcite and Palamon, the Palamon and Palamon."," Here is the Arcite and Palamon,","Lo heere this Arcite and this Palamoun,
"
