,Original,Paraphrased,Modern
680,"Selde is the Friday al the wowke ylike.
","it's Friday, and it's the day of the week. It's Friday, and it's Friday.","Friday is seldom like all the rest of the week.
"
681,"Whan that Arcite had songe, he gan to sike
","when he saw the Arcite's songe, he gan to look.","When Arcite had sung, he began to sigh
"
682,"And sette hym doun withouten any moore.
",sette hym doun withouten any moore.,"And sat himself down without any more.
"
683,"""Allas,"" quod he, ""that day that I was bore!
","as I was, he said, ""that day I was sick!""","""Alas,"" he said, ""that day that I was born!
"
684,"How longe, Juno, thurgh thy crueltee,
","Longe, Juno, you're cruel, you're cruel, you're cruel, you're cruel, you're cruel, you're cruel, you're cruel, you","How long, Juno, through thy cruelty,
"
685,"Woltow werreyen Thebes the citee?
",Woltow werreyen Thebes the citee?,"Wilt thou make war on the city of Thebes?
"
686,"Allas, ybroght is to confusioun
","as a matter of fact, ybroght is a confessor to the confessor.","Alas, to ruin is brought
"
687,"The blood roial of Cadme and Amphioun --
",blood from Cadme and Amphioun --,"The royal blood of Cadmus and Amphion --
"
688,"Of Cadmus, which that was the firste man
","Cadmus, the first man to be born, was Cadmus.","Of Cadmus, who was the first man
"
689,"That Thebes bulte, or first the toun bigan,
","thebes bulte, or the first of the bigans,","Who built Thebes, before the town first began,
"
690,"And of the citee first was crouned kyng.
",the first of the citee was crouched down.,"And first was crowned king of the city.
"
691,"Of his lynage am I and his ofspryng
",I'm a lynch and his is a spryng.,"I am of his lineage and his offspring
"
692,"By verray ligne, as of the stok roial,
","as of the stok roial, as of the stok roial, as of the stok roial, as of the stok roial.","By true lineage, of the royal family,
"
693,"And now I am so caytyf and so thral,
","I'm so caytyf and so thral, and I'm so thral.","And now I am so wretched and so enslaved,
"
694,"That he that is my mortal enemy,
","that's my mortal enemy, my mortal enemy.","That he who is my mortal enemy,
"
695,"I serve hym as his squier povrely.
",he serves as a squire to the hym.,"I meekly serve him as his squire.
"
696,"And yet dooth Juno me wel moore shame,
","yet I'm ashamed of it, but I'm ashamed of myself.","And yet Juno does me much more shame,
"
697,"For I dar noght biknowe myn owene name;
","I'm not gonna tell you my name, but I'll tell you my name.","For I dare not acknowledge my own name;
"
698,"But ther as I was wont to highte Arcite,
","as I've been accustomed to, I've been accustomed to the Arcite.","But whereas I was accustomed to be called Arcite,
"
699,"Now highte I Philostrate, noght worth a myte.
","I'm Philostrate, noght worth a penny.","Now I am called Philostrate, not worth a penny.
"
700,"Allas, thou felle Mars! Allas, Juno!
","as you know, Juno, you know, I'm a little worried about you.","Alas, thou fierce Mars! Alas, Juno!
"
701,"Thus hath youre ire oure lynage al fordo,
","you're gonna have a lot of anger in your heart, for your own sake.","Thus has your anger destroyed all our lineage,
"
702,"Save oonly me and wrecched Palamoun,
","I only have to deal with Palamoun, and I'm fine.","Save only me and wretched Palamon,
"
703,"That Theseus martireth in prisoun.
",theseus martireth in the name of the Lord.,"Whom Theseus torments in prison.
"
704,"And over al this, to sleen me outrely
",then I'm going to be a little pissed off.,"And in addition to all this, to slay me utterly
"
705,"Love hath his firy dart so brennyngly
","the firy dart is so sharp and so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so","Love has his fiery dart so ardently
"
706,"Ystiked thurgh my trewe, careful herte
","thou shalt not be a fool, you'll be a fool, you'll be a fool.","Stabbed through my faithful, sorrowful heart
"
707,"That shapen was my deeth erst than my sherte.
",shapen was my deether than my sword.,"That my death was destined before my first garment was made.
"
708,"Ye sleen me with youre eyen, Emelye!
","I'm gonna be like you, Emelye!","You slay me with your eyes, Emelye!
"
709,"Ye been the cause wherfore that I dye.
","I'm the cause of the dye, so I'm dyeing.","You are the cause by which I die.
"
710,"Of al the remenant of myn oother care
",the care of myn oother's care is my concern.,"Of all the rest of my other troubles
"
711,"Ne sette I nat the montance of a tare,
","sette I nt the montance of a tare,","I do not reckon at the value of a weed,
"
712,"So that I koude doon aught to youre plesaunce.""
","I'm gonna do something for you, I'm gonna do something for you. ""","Provided that I could do anything to please you.""
"
713,"And with that word he fil doun in a traunce
","he was a trauncer with the word, and he was a trauncer with the word.","And with that word he fell down in a trance
"
714,"A longe tyme, and after he up sterte.
","after he's done, he'll be on his way, and then he'll be gone.","A long time, and afterwards he leaped up.
"
715,"This Palamoun, that thoughte that thurgh his herte
","but Palamon, that's what he's like to do, but he's not like that to Palamon.","This Palamon, that thought that through his heart
"
716,"He felte a coold swerd sodeynliche glyde,
","he's a coold swerd sodeynliche glyde, a coold swerd sodeynliche glyde.","He felt a cold sword suddenly glide,
"
717,"For ire he quook; no lenger wolde he byde.
","he quaked, no lenger wolde he be.","For anger he trembled; no longer would he wait.
"
718,"And whan that he had herd Arcites tale,
","when he heard the tale of Arcites, he was surprised.","And when he had heard Arcite's tale,
"
719,"As he were wood, with face deed and pale,
","he was a wood, with a face of a pale face, and a face of a pale face.","As if he were mad, with face dead and pale,
"
720,"He stirte hym up out of the buskes thikke
",he stirs up the bushy hym from the bushy hym.,"He leaped up out of the thick bushes
"
721,"And seide: ""Arcite, false traytour wikke,
","""Arcite, false tour of the wiki,","And said: ""Arcite, false, wicked traitor,
"
722,"Now artow hent, that lovest my lady so,
","artow hent, my lady is so nice to me.","Now art thou taken, who lovest my lady so,
"
723,"For whom that I have al this peyne and wo,
",who's the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's,"For whom that I have all this pain and woe,
"
724,"And art my blood, and to my conseil sworn,
","art my blood, and I swear to you, my blood.","And art of my blood, and sworn to be in my confidence,
"
725,"As I ful ofte have told thee heerbiforn,
","I'm telling you, heerbiforn, I'm telling you, heerbiforn, I'm telling you, heerbiforn, I'm telling you, he","As I full often have told thee before now,
"
726,"And hast byjaped heere duc Theseus,
","he's got a lot of work to do, he's got a lot of work to do, he's got a lot of work to do.","And hast tricked here duke Theseus,
"
727,"And falsly chaunged hast thy name thus!
","you have a name, you're a name, you're a name, you're a name, you're a name, you're a name, you're a name, you","And thus hast falsely changed thy name!
"
728,"I wol be deed, or elles thou shalt dye.
","you have to do it, or you'll dye.","I will be dead, or else thou shalt die.
"
729,"Thou shalt nat love my lady Emelye,
",you don't have to love my lady Emelye.,"Thou shalt not love my lady Emelye,
"
730,"But I wol love hire oonly and namo;
",I'm really happy to hire only oonly and namo;,"But I will love her only and no other;
"
731,"For I am Palamon, thy mortal foo.
","I'm Palamon, your mortal enemy.","For I am Palamon, thy mortal foe.
"
732,"And though that I no wepene have in this place,
","but I'm not sure if we're in this place, but I'm sure we're not.","And though I have no weapon in this place,
"
733,"But out of prison am astert by grace,
","I'm in prison for grace, and I'm in prison for grace.","But out of prison am escaped by good luck,
"
734,"I drede noght that outher thow shalt dye,
","noght, noght, noght, noght, noght, noght, noght, noght, noght,","I doubt not that either thou shalt dye,
"
735,"Or thow ne shalt nat loven Emelye.
",Thou shalt not be able to go to the Emelye.,"Either thou shalt not love Emelye,
"
736,"Chees which thou wolt, or thou shalt nat asterte!""
","""you'll have to be careful, or you'll be a fool!""","Choose which thou wish, or thou shalt not escape!""
"
737,"This Arcite, with ful despitous herte,
","the Arcite, the cruel and cruel woman, with her cruel and cruel husband.","This Arcite, with full spiteful heart,
"
738,"Whan he hym knew, and hadde his tale herd,
","he knew he had to tell the tale, and he had to tell it to the herd.","When he knew him, and had heard his tale,
"
739,"As fiers as leon pulled out his swerd,
",the fier was as if the leon had pulled out his sword.,"As fierce as a lion pulled out his sword,
"
740,"And seyde thus: ""By God that sit above,
","""by God's will, the sky is above,"" said Seyda.","And said thus: ""By God who sits above,
"
741,"Nere it that thou art sik and wood for love,
",you're a love and wood for love.,"Were it not that thou art sick and mad for love,
"
742,"And eek that thow no wepne hast in this place,
","we're not gonna be able to get any of the wepnes, we're not gonna be able to get any of them.","And also because thou hast no weapon in this place,
"
743,"Thou sholdest nevere out of this grove pace,
","you should be careful not to go too fast, for the grove is too slow.","Thou shouldest never walk out of this grove,
"
744,"That thou ne sholdest dyen of myn hond.
",you should have taken myn hond away from me.,"Rather thou shouldest die of my hand.
"
745,"For I defye the seurete and the bond
",I'm defying the bond and the bond.,"For I repudiate the pledge and the bond
"
746,"Which that thou seist that I have maad to thee.
",you're telling me I'm gonna have to do it. You're telling me I have to.,"Which thou sayest that I have made to thee.
"
747,"What! Verray fool, thynk wel that love is free,
","oh, my God, you fool, you fool, you fool, you fool, you fool, you fool, you fool, you fool, you fool, you fool","Lo! True fool, think well that love is free,
"
748,"And I wol love hire maugree al thy myght!
",I'm glad I'm hiring a maugree al myght!,"And I will love her in spite of all thy might!
"
749,"But for as muche thou art a worthy knyght
","as a worthy knyght, you're a worthy knyght.","But for as much as thou art a worthy knight
"
750,"And wilnest to darreyne hire by bataille,
","wilful to hire the bataille of bataille,","And desire to decide the right to her by battle,
"
751,"Have heer my trouthe; tomorwe I wol nat faille,
","I'm not gonna fail, I'm not gonna fail, I'm not gonna fail.","Have here my pledge; tomorrow I will not fail,
"
752,"Withoute wityng of any oother wight,
","any other wight, any other wight, any other wight, any other wight, any other wight, any other wight, any other wight","Without the knowledge of any other person,
"
753,"That heere I wol be founden as a knyght,
","I'm gonna be found as a knave, as a knave, as a knave.","But here I will be found as a knight,
"
754,"And bryngen harneys right ynough for thee;
",Bryngen harney's right to go;,"And bring armor right enough for thee;
"
755,"And ches the beste, and leef the worste for me.
","I'll be glad to have the best of it, and I'll be glad to have the worm.","And choose the best, and leave the worst for me.
"
756,"And mete and drynke this nyght wol I brynge
",I'm gonna go to the nyght wol I'm gonna be a nyght wol I'm gonna be a nyght wol,"And food and drink this night will I bring
"
757,"Ynough for thee, and clothes for thy beddynge.
","you don't have to worry about your clothes, but your bed.","Enough for thee, and bed-clothes for thy bedding.
"
758,"And if so be that thou my lady wynne,
","if you're my lady, you're my lady.","And if it so be that thou win my lady,
"
759,"And sle me in this wode ther I am inne,
",I'm going to be in this wode ther I'm in.,"And slay me in this wood where I am in,
"
760,"Thow mayst wel have thy lady as for me.""
","""I'm sure your lady will be happy to take me.""","Thou mayest well have thy lady as far as I am concerned.""
"
761,"This Palamon answerde, ""I graunte it thee.""
","""I'm sorry, but I'm sorry,"" Palamon said, ""I'm sorry.""","This Palamon answered, ""I agree.""
"
762,"And thus they been departed til amorwe,
","they were taken away until they were gone, and then they were gone.","And thus they are departed until morning,
"
763,"Whan ech of hem had leyd his feith to borwe.
",he leyded his feith to borwe.,"When each of them had laid his faith as a pledge.
"
764,"O Cupide, out of alle charitee!
","the Cupide, out of the charitee!","O Cupid, devoid of all kindness to others!
"
765,"O regne, that wolt no felawe have with thee!
","no felawe, wolt no felawe be with you!","O reign, that will have no partner with thee!
"
766,"Ful sooth is seyd that love ne lordshipe
",sooth is seyd that love is not the lordshipe of the Lordshipe.,"Full truly it is said that love nor lordship
"
767,"Wol noght, his thankes, have no felaweshipe.
","noght, his thankes, he's not a felaweshipe.","Will not, willingly, have any partnership.
"
768,"Wel fynden that Arcite and Palamoun.
",the Arcite and Palamounes are the two of the two.,"Arcite and Palamon well find that (to be true).
"
769,"Arcite is riden anon unto the toun,
","the toun is a toun, the toun is a toun, the toun is a toun.","Arcite has ridden immediately into the town,
"
770,"And on the morwe, er it were dayes light,
","on the morrow, the day of the morrow, the day of the morrow, the day of the morrow, the day of the morrow","And on the morning, before it was day's light,
"
771,"Ful prively two harneys hath he dight,
","he's got a couple of harneys, but he's not a lot of them.","Very secretly he has prepared two sets of armor,
"
772,"Bothe suffisaunt and mete to darreyne
","the darreyne is a darreyne, the darreyne is a darreyne, the darreyne is a d","Both sufficient and suitable to decide
"
773,"The bataille in the feeld bitwix hem tweyne;
",the bataille in the feeld bitwix hem tweyne;,"The battle in the field between them two;
"
774,"And on his hors, allone as he was born,
","on his horse, he was born, and he was born on his horse.","And on his horse, alone as he was born,
"
775,"He carieth al the harneys hym biforn.
","he's got a car, he's got a car, he's got a car.","He carries all the armor before him.
"
776,"And in the grove, at tyme and place yset,
","in the grove, at the place where the tyme is,","And in the grove, at time and place set,
"
777,"This Arcite and this Palamon ben met.
",the Arcite and Palamon were both there.,"This Arcite and this Palamon are met.
"
778,"To chaungen gan the colour in hir face;
",chaungen gan the color of the face of the chaungen;,"The color in their faces began to change;
"
779,"Right as the hunters in the regne of Trace,
","as the hunters in the regne of the Trace,","Just as the hunters in the reign of Thrace,
"
780,"That stondeth at the gappe with a spere,
","the gappe is a spere, the gappe is a spear.","He who stands at the gap in the forrest with a spear,
"
781,"Whan hunted is the leon or the bere,
",the leon is the leon or the bere.,"When the lion or the bear is hunted,
"
782,"And hereth hym come russhyng in the greves,
","here's a russhyng in the greaves, here's a russhyng in the greaves.","And hears him come rushing in the bushes,
"
783,"And breketh bothe bowes and the leves,
","the bowels of the bowels, the leavings, the leavings, the leavings, the leavings, the leavings","And breaks both boughs and the leaves,
"
784,"And thynketh, ""Heere cometh my mortal enemy!
","""there's my mortal enemy here!"" Said Thynketh.","And thinks, ""Here comes my mortal enemy!
"
785,"Withoute faille, he moot be deed, or I,
","he's got a problem, or I, or he's gonna be dead.","Without fail, he must be dead, or I,
"
786,"For outher I moot sleen hym at the gappe,
",I'm going to the gappe with my gappe.,"For either I must slay him at the gap,
"
787,"Or he moot sleen me, if that me myshappe.""
","if I'm myshappe, he's myshappe, if I'm myshappe.","Or he must slay me, if I suffer misfortune.""
"
788,"So ferden they in chaungyng of hir hewe,
","they're ferden in the hirwe of hirwe, ferden in the hirwe.","So fared they in changing colors of their faces,
"
789,"As fer as everich of hem oother knewe.
","as everich knew, he was still in the same place.","When each of them knew the other.
"
790,"Ther nas no good day, ne no saluyng,
","no good day, no saluyng, no saluyng, no saluyng, no saluyng, no saluyng, no saluy","There was no 'good day,' nor no salutations,
"
791,"But streight, withouten word or rehersyng,
","straight, without a word of a cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough, or cough","But straightway, without word or conversing,
"
792,"Everich of hem heelp for to armen oother
",the heel of the heel of the heel of the heel of the heel of the heel of the heel of the heel of the heel of the heel of the heel,"Each one of them helped to arm the other
"
793,"As freendly as he were his owene brother;
",as he was a brother to his owen brother;,"As friendly as if he were his own brother;
"
794,"And after that, with sharpe speres stronge
","after that, the sharpness of the spear was sharpened by the sharpness of the spear.","And after that, with sharp strong spears
"
795,"They foynen ech at oother wonder longe.
",foynen ech at the other wonderland.,"They thrust at each other a wonderfully long time.
"
796,"Thou myghtest wene that this Palamon
","you're gonna be my Palamon, my Palamon, my Palamon, my Palamon, my Palamon, my Palamon, my Palamon,","Thou mightest suppose that this Palamon
"
797,"In his fightyng were a wood leon,
",a wood leon was fighting with a wood leon.,"In his fighting was a mad lion,
"
798,"And as a crueel tigre was Arcite;
",as a cruel tigre was Arcite;,"And Arcite was like a cruel tiger;
"
799,"As wilde bores gonne they to smyte,
","wilde's bores are smeared with smysk, and they're smeared with smysk.","They began to smite like wild boars,
"
800,"That frothen whit as foom for ire wood.
",the fowls of the fowls of the fowls of the fowls of the fowls.,"That froth at the mouth white as foam for mad anger.
"
801,"Up to the ancle foghte they in hir blood.
",they're bloodied by the blood of the ancle.,"They fought up to the ankle in their blood.
"
802,"And in this wise I lete hem fightyng dwelle,
","I'm gonna fight with my sword, my sword, my sword, my sword, my sword, my sword, my sword, my sword, my sword, my sword","And in this manner I leave them to remain fighting,
"
803,"And forth I wole of Theseus yow telle.
",I'll tell you what I want to tell you. I want to tell you what I want to tell you.,"And forth I will tell you of Theseus.
"
804,"The destinee, ministre general,
","the owner of the house, the owner of the house, the owner of the house, the owner of the house, the owner of the house, the owner of the","The destiny, general minister,
"
805,"That executeth in the world over al
","the world over the world, the world's economy is growing.","That executes in the world everywhere
"
806,"The purveiaunce that God hath seyn biforn,
","the purveyunce that God has promised to do, the God is not pleased.","The providence that God has foreseen,
"
807,"So strong it is that, though the world had sworn
","but the world has sworn to the world, but the world has sworn to the world.","So strong it is that, though the world had sworn
"
808,"The contrarie of a thyng by ye or nay,
","the contrariety of a thyng or nay,","The contrary of a thing by yes or no,
"
809,"Yet somtyme it shal fallen on a day
","on a day of the day, it fell to the ground.","Yet sometimes it shall happen on one day
"
810,"That falleth nat eft withinne a thousand yeer.
","falleth in a thousand years, and the falleth in a thousand years.","That happens not again in a thousand years.
"
811,"For certeinly, oure appetites heer,
","he's a little bit of a nutcase, a little crazy, a little crazy, a little crazy, a little crazy, a little crazy, a little crazy,","For certainly, our desires here,
"
812,"Be it of werre, or pees, or hate, or love,
","it's a word, or a word, or a word, or a word, or a word, or a word, or a word, or a word, or","Be it of war, or peace, or hate, or love,
"
813,"Al is this reuled by the sighte above.
",the sight of the above is re-established by the sight of the above.,"All this is ruled by the foresight above.
"
814,"This mene I now by myghty Theseus,
","I'm now a mane of myghty, I'm a mane of myghty, I'm a mane of myghty.","I mean this now in regard to mighty Theseus,
"
815,"That for to hunten is so desirus,
",for the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of the sake of,"Who is so desirous to hunt,
"
816,"And namely at the grete hert in May,
","in May, the grete hert was in the grete hert.","And especially at the large hart in May,
"
817,"That in his bed ther daweth hym no day
","he's not going to sleep in his bed today, but tomorrow.","That in his bed there dawns for him no day
"
818,"That he nys clad, and redy for to ryde
","he's dressed, and red with red, and he's red with red.","That he is not clad, and ready to ride
"
819,"With hunte and horn and houndes hym bisyde.
",the hounds and the hounds of the hounds.,"With huntsman and horn and hounds beside him.
"
820,"For in his huntyng hath he swich delit
",in his hunch he's got a little bit of a hunch.,"For in his hunting he has such delight
"
821,"That it is al his joye and appetit
",it's a joy and pleasure for him and his joy.,"That it is all his joy and desire
"
822,"To been hymself the grete hertes bane,
",he was a grete grete grete grete grete grete grete grete grete grete grete grete grete grete grete g,"To be himself the large hart's slayer,
"
823,"For after Mars he serveth now Dyane.
",he's now Dyane's after Mars.,"For next to Mars he now serves Diana.
"
824,"Cleer was the day, as I have toold er this,
","it was the day of the Erk, as I've told you.","The day was clear, as I have told before this,
"
825,"And Theseus with alle joye and blis,
","theseus with joy and joy, and with joy, and joy, and joy, and joy, and joy, and joy, and joy, and joy, and joy","And Theseus with all joy and bliss,
"
826,"With his Ypolita, the faire queene,
","the faireque of the Ypolita, the faireque of the Ypolita, the faireque of the Ypolita, the faireque of the Ypol","With his Ypolita, the faire queen,
"
827,"And Emelye, clothed al in grene,
","Emelye, dressed in a greenish-green, greenery.","And Emelye, clothed all in green,
"
828,"On huntyng be they riden roially.
","they will be rid of the houngs, they will be rid of the houngs.","On hunting they are ridden royally.
"
829,"And to the grove that stood ful faste by,
","to the grove that stood in the middle of the road,
to the grove that stood in the middle of the road.","And to the grove that stood very close by,
"
830,"In which ther was an hert, as men hym tolde,
","in which there was a hert, as men say, as men say, men say, men say, men say, men say, men say, men say,","In which there was a hart, so people told him,
"
831,"Duc Theseus the streighte wey hath holde.
",Duc Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey Wey,"Duke Theseus has held the straight way.
"
832,"And to the launde he rideth hym ful right,
","he's got a lot of money, he's got a lot of money, he's got a lot of money, he's got a lot of money, he's","And directly to the glade he rides,
"
833,"For thider was the hert wont have his flight,
",the hert was the flight of the hert.,"For through there the hart was accustomed to take his escape,
"
834,"And over a brook, and so forth on his weye.
","he's got a brook, and so forth on his tongue.","And (flee) over a brook, and so forth on his way.
"
835,"This duc wol han a cours at hym or tweye
",duc wol han a cours at the hym or the twee.,"This duke will have a run or two at him
"
836,"With houndes swiche as that hym list comaunde.
",the hounds are as much as the list of comaunders.,"With such hounds as he pleases to command.
"
837,"And whan this duc was come unto the launde,
","when the duc was at the laundry, he was taken aback.","And when this duke was come unto the glade,
"
838,"Under the sonne he looketh, and anon
","he looks at the sonne, and then anon","He looks toward the sun, and immediately
"
839,"He was war of Arcite and Palamon,
",the war between the Arcite and Palamon was a war of Arcite and Palamon.,"He was aware of Arcite and Palamon,
"
840,"That foughten breme as it were bores two.
","it's like a two-year-old's fiddle, but it's a little more complex.","Who fought as fiercely as if it were two wild boars.
"
841,"The brighte swerdes wenten to and fro
",the brighten swerdes moved in and out of the room.,"The bright swords went to and fro
"
842,"So hidously that with the leeste strook
","with the leeste's sword, the leeste's sword, the leeste's sword, the leeste's sword, the leeste's sword, the leeste","So hideously that with the weakest stroke
"
843,"It semed as it wolde felle an ook.
","it's a good thing he's a good guy, because he's a good guy.","It seemed as if it would fell an oak.
"
844,"But what they were, no thyng he ne woot.
","what they were, no one knew. No one knew what they were.","But who they were, he knew nothing.
"
845,"This duc his courser with his spores smoot,
",the duchess's courser with the spores is smooth.,"This duke smote his warhorse with his spurs,
"
846,"And at a stert he was bitwix hem two,
","he was bitten by a stert, two, and then he was bitten by a stert.","And with a sudden leap he was between them two,
"
847,"And pulled out a swerd and cride, ""Hoo!
","""oh, my God!"" Said the dwarf, and he pulled a swerd and cruncher. ""Oh, my God!"" Said the dwarf, and he pulled","And pulled out a sword and cried, ""Stop!
"
848,"Namoore, up peyne of lesynge of youre heed!
","you're going to be a great man, you'll be a great man!","No more, on the penalty of the loss of your head!
"
849,"By myghty Mars, he shal anon be deed
","myghty Mars, he's gonna do it, he's gonna do it, he's gonna do it, he's gonna do it, he's gonna do it","By mighty Mars, he shall at once be dead
"
850,"That smyteth any strook that I may seen.
",I'll take a look at the strok I saw.,"Who smites any stroke that I can see.
"
851,"But telleth me what myster men ye been,
","tell me what you've been, what you've done, what you've done, what you've done, what you've done, what you've done, what you","But tell me what sort of men you are,
"
852,"That been so hardy for to fighten heere
","it's hard to fight him, he's tough to fight him.","Who are so bold as to fight here
"
853,"Withouten juge or oother officere,
","the office of the Office of the Secretary of State, the Secretary of State, the Secretary of State, the Secretary of State, the Secretary of State, the Secretary of","Without judge or other officer,
"
854,"As it were in a lystes roially.""
","""as it were in the Lystes of the roial.""","As it would be in a properly conducted duel,""
"
855,"This Palamon answerde hastily
","Palamon answered quickly, and quickly answered the question.","This Palamon answered hastily
"
856,"And seyde, ""Sire, what nedeth wordes mo?
","Sir, what do you say, sir, what's the word of the word?","And said, ""Sire, what more words are needed?
"
857,"We have the deeth disserved bothe two.
",we have a deeth disowned by the two.,"We have deserved the death, both of us two.
"
858,"Two woful wrecches been we, two caytyves,
","two caytyves, two caytyves, two caytyves, two caytyves, two caytyves, two cayty","Two woeful wretches are we, two miserable people,
"
859,"That been encombred of oure owene lyves;
",the oure owene lyves were encombed with oure owene lyves;,"Who are burdened down by our own lives;
"
860,"And as thou art a rightful lord and juge,
","as you're a rightful lord and king, so you're a king.","And as thou art a rightful lord and judge,
"
861,"Ne yif us neither mercy ne refuge,
","we don't want to be killed, but we don't want to be killed.","Give us neither mercy nor refuge,
"
862,"But sle me first, for seinte charitee!
","I'll be the first one to go, for the sake of the seinte charitee!","But slay me first, by holy charity!
"
863,"But sle my felawe eek as wel as me;
","as well as me, I'm like a felawe eek.","But slay my fellow also as well as me;
"
864,"Or sle hym first, for though thow knowest it lite,
","but first, for though he knows it's a little light, he's still a little light.","Or slay him first, for though thou little knowest it,
"
865,"This is thy mortal foo, this is Arcite,
","this is your mortal enemy, this is Arctite, Arctite, Arctite, Arctite, Arctite, Arctite, Arct","This is thy mortal foe, this is Arcite,
"
866,"That fro thy lond is banysshed on his heed,
","the lond is bared to your ears, and the lond is bared to your eyes.","Who is banished from thy land on (pain of losing) his head,
"
867,"For which he hath deserved to be deed.
","he deserves it, he deserves it, he deserves it, he deserves it.","For which he has deserved to be dead.
"
868,"For this is he that cam unto thy gate
",he's the one who's gonna be on your door for you.,"For this is he that came unto thy gate
"
869,"And seyde that he highte Philostrate.
",he said he would be Philostrate.,"And said that he was called Philostrate.
"
870,"Thus hath he japed thee ful many a yer,
","he's been a lot of fun, and he's been a lot of fun, too. He was a lot of fun. He was a lot of fun. He","Thus has he tricked thee for many years,
"
871,"And thou hast maked hym thy chief squier;
",you've made a chief squire of your own.,"And thou hast made him thy chief squire;
"
872,"And this is he that loveth Emelye.
","he loves Emelye, and he loves her.","And this is he that loves Emelye.
"
873,"For sith the day is come that I shal dye,
","when I'm done with the dye, I'll dye it.","For since the day is come that I must dye,
"
874,"I make pleynly my confessioun
","I confess to you, I'm a pleynly confessor.","I make plainly my confession
"
875,"That I am thilke woful Palamoun
","I'm a terrible Palamoun, I'm a terrible Palamoun.","That I am that same woeful Palamon
"
876,"That hath thy prisoun broken wikkedly.
",your prisoun has broken the wikkedly.,"That wickedly has broken (out of) thy prison.
"
877,"I am thy mortal foo, and it am I
","I'm your mortal enemy, and I'm yours.","I am thy mortal foe, and it is I
"
878,"That loveth so hoote Emelye the brighte
","lovely, the love of the love of the love of the love of the love of the love of the love of the love of the love of love of love of","Who loves the beautiful Emelye so passionately
"
879,"That I wol dye present in hir sighte.
",I'm gonna dye my eyes in your sight.,"That I will die at this moment in her sight.
"
880,"Wherfore I axe deeth and my juwise;
","I'm gonna axe my head and my head, and I'll be fine.","Therefore I ask death and my judicial sentence;
"
881,"But sle my felawe in the same wise,
",so that the felawe is the same as the felawe.,"But slay my fellow in the same way,
"
882,"For bothe han we deserved to be slayn.""
","""we should have killed him."" Bothehana we should have killed him. ""","For we have both deserved to be slain.""
"
883,"This worthy duc answerde anon agayn,
","an excellent answer to the question of the duchess, anon agayn.","This worthy duke answered at once in reply,
"
884,"And seyde, ""This is a short conclusioun.
","""it's a short statement, but it's a short statement.","And said, ""This is a brief (easy) decision.
"
885,"Youre owene mouth, by youre confessioun,
","you're a mouth, by your confession, you're a mouth, by your confession.","Your own mouth, by your confession,
"
886,"Hath dampned yow, and I wol it recorde;
","he was wet, and I was wet, and I was wet;","Has condemned you, and I will pronounce it;
"
887,"It nedeth noght to pyne yow with the corde.
","nodeth noght, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth, nodeth","There is no deed to torture you with the cord.
"
888,"Ye shal be deed, by myghty Mars the rede!""
","""by myghty Mars, I'm done with it!"" Said the old man.'","You shall be dead, by mighty Mars the red!""
"
889,"The queene anon, for verray wommanhede,
","queen Anon, for the sake of the womenfolk, for the sake of the womenfolk.","The queen at once, for true womanliness,
"
890,"Gan for to wepe, and so dide Emelye,
","wepe, and so dide Emelye, and so dide Emelye, and so dide Emelye, and so dide","Began to weep, and so did Emelye,
"
891,"And alle the ladyes in the compaignye.
",all the ladies in the compaigne.,"And all the ladies in the company.
"
892,"Greet pitee was it, as it thoughte hem alle,
","it was a little like a pitee, as it were, a pitee.","Great pity was it, as it seemed to them all,
"
893,"That evere swich a chaunce sholde falle,
","evere's a chaunce sholder, a chaunce sholder, a chaunce sholder.","That ever such a misfortune should occur,
"
894,"For gentil men they were of greet estaat,
","they were welcome to the gentiles, they were welcome to the gentiles.","For they were gentle men of high rank,
"
895,"And no thyng but for love was this debaat;
","this is a debaat for love, not for love.","And this debate was for nothing but love;
"
896,"And saugh hir blody woundes wyde and soore,
","the saugh hir blokey wounds wyde and soore,
the saugh hir blokey wounds wyde and soore","And saw their bloody wounds wide and sore,
"
897,"And alle crieden, bothe lasse and moore,
","all of them cried, and they were all crying, and they cried, and they cried, and they cried, and they cried, and they cried, and","And all cried, both low ranking and high,
"
898,"""Have mercy, Lord, upon us wommen alle!""
","oh, my God, for us, Lord, for us! 'Cause we're women! 'Cause we're women! 'Cause we're women! '","""Have mercy, Lord, upon all of us women!""
"
899,"And on hir bare knees adoun they falle
","on the bare knees of the hir knees, they ran.","And they fall down on their bare knees
"
900,"And wolde have kist his feet ther as he stood;
","he stood up and wrenched his feet from the ground;
he stood up and wrenched his feet from the ground;","And would have kissed his feet there where he stood;
"
901,"Til at the laste aslaked was his mood,
","the mood of the last was a mood of despair, and he was despairing.","Until at the last his mood was calmed,
"
902,"For pitee renneth soone in gentil herte.
",pitee renneth soone in gentil herte.,"For pity comes soon to a gentle heart.
"
